latitude,longitude,port
33.185236,11.490571,Elketif
33.277284,11.29251,Biban
33.495347,11.118364,Zarzis
33.888495,10.856623,Djerba houmet soug
33.718721,10.742954,Djerba ajim
33.701095,10.362337,Zarat
33.895606,10.116519,Gabes North
33.92447,10.0957,Gabes South
34.286775,10.09575,Skhira
34.347086,10.210735,Zabouza
34.516667,10.498864,Mahriss
34.713438,10.761833,Sfax
34.79516,10.851953,Sidi mansour North
34.785614,10.867615,Sidi mansour South
34.87091,10.908957,Aoeubed
35.00036,10.972527,Masra
35.043254,11.033916,Lawatha
35.146662,11.060403,Maloulech
35.225273,11.126242,Chebba North
35.232323,11.161765,Cheeba South
35.341782,11.035142,Alia
35.391164,11.048595,Salakta
35.497892,11.063139,Rejiche
35.623911,11.048446,Bakalta
35.636206,11.010248,Zbed
35.660748,10.954552,Teboulba
35.673772,10.892124,Sayada
35.691773,10.846433,Medyoni
35.759182,10.838669,Monastir
35.778782,10.832407,Cap monastir
35.824989,10.642277,Soussa
35.893895,10.599796,Kantawi
36.033512,10.508773,Hegla
36.37321,10.543875,Yasmine hammamet
36.454143,10.796949,Béni khiar
36.83364,11.114547,Kelibia
37.04187,11.063603,Hawariya
